"","x"
"1","asyl"
"2","asylanträge"
"3","ausländer"
"4","flüchtlinge"
"5","flüchtlingen"
"6","flüchtlings"
"7","flüchtlingskrise"
"8","migranten"
"9","migration"
"10","steueroasen"
"11","straffällige"
"12","tschetschenen"
"13","zuwanderung"
"14","einwanderer"
"15","einwandererin"
"16","einwandererinnen"
"17","einwandernde"
"18","einwanderung"
"19","immigration"
"20","zuwanderer"
"21","zuwandernde"
"22","asylant"
"23","asylanten"
"24","asylantinnen"
"25","visa"
"26","visum"
"27","auslander"
"28","fluchtling"
"29","fluchtende"
"30","fluchtlinge"
"31","asylbewerber"
"32","asylbewerberin"
"33","asylbewerberinnen"
"34","schutzsuchende"
"35","schutzbedurftige"
