"","x"
"1","abschiebungen"
"2","arbeitnehmer"
"3","arbeitslose"
"4","asylbewerber"
"5","atomkraft"
"6","beamte"
"7","erzieher"
"8","fernbusse"
"9","kassenpatienten"
"10","klimaziele"
"11","migranten"
"12","sozialhilfe"
"13","staatshilfe"
"14","subventionen"
"15","einwanderer"
"16","einwandererin"
"17","einwandererinnen"
"18","einwandernde"
"19","einwanderung"
"20","migration"
"21","immigration"
"22","zuwanderung"
"23","zuwanderer"
"24","zuwandernde"
"25","asyl"
"26","asylant"
"27","asylanten"
"28","asylantinnen"
"29","visa"
"30","visum"
"31","auslander"
"32","fluchtling"
"33","fluchtende"
"34","fluchtlinge"
"35","asylbewerberin"
"36","asylbewerberinnen"
"37","schutzsuchende"
"38","schutzbedurftige"
