"","x"
"1","einwanderer"
"2","einwandererin"
"3","einwandererinnen"
"4","einwandernde"
"5","einwanderung"
"6","migration"
"7","immigration"
"8","zuwanderung"
"9","zuwanderer"
"10","zuwandernde"
"11","asyl"
"12","asylant"
"13","asylanten"
"14","asylantinnen"
"15","visa"
"16","visum"
"17","auslander"
"18","fluchtling"
"19","fluchtende"
"20","fluchtlinge"
"21","asylbewerber"
"22","asylbewerberin"
"23","asylbewerberinnen"
"24","schutzsuchende"
"25","schutzbedurftige"
"26","abgelehnte"
"27","altersgrenze"
"28","erzieher"
"29","vernehmung"
"30","parteien"
"31","ãœberlastung"
"32","integration"
"33","migranten"
