"","x"
"1","abschiebungen"
"2","abtreibungen"
"3","afrikaner"
"4","asylanträge"
"5","asylbewerber"
"6","asylpolitik"
"7","asylsuchende"
"8","asylverfahren"
"9","ausländer"
"10","bootsflüchtlinge"
"11","einreiseverbot"
"12","einwanderer"
"13","flüchtlinge"
"14","flüchtlingen"
"15","flüchtlingshilfe"
"16","flüchtlingskrise"
"17","flüchtlingspolitik"
"18","gewalttaten"
"19","innenministerium"
"20","migranten"
"21","migration"
"22","militäreinsatz"
"23","plastiktüten"
"24","rüstungsexporte"
"25","zuwanderer"
"26","zuwanderung"
"27","einwandererin"
"28","einwandererinnen"
"29","einwandernde"
"30","einwanderung"
"31","immigration"
"32","zuwandernde"
"33","asyl"
"34","asylant"
"35","asylanten"
"36","asylantinnen"
"37","visa"
"38","visum"
"39","auslander"
"40","fluchtling"
"41","fluchtende"
"42","fluchtlinge"
"43","asylbewerberin"
"44","asylbewerberinnen"
"45","schutzsuchende"
"46","schutzbedurftige"
