"","x"
"1","abschiebungen"
"2","afghanen"
"3","asylbewerber"
"4","asylsuchende"
"5","balkanstaaten"
"6","bezahlbaren"
"7","einwanderung"
"8","familiennachzug"
"9","konzept"
"10","migration"
"11","regelung"
"12","sozialkassen"
"13","stadtentwicklung"
"14","syrer"
"15","zuwanderer"
"16","zuwanderung"
"17","einwanderer"
"18","einwandererin"
"19","einwandererinnen"
"20","einwandernde"
"21","immigration"
"22","zuwandernde"
"23","asyl"
"24","asylant"
"25","asylanten"
"26","asylantinnen"
"27","visa"
"28","visum"
"29","auslander"
"30","fluchtling"
"31","fluchtende"
"32","fluchtlinge"
"33","asylbewerberin"
"34","asylbewerberinnen"
"35","schutzsuchende"
"36","schutzbedurftige"
