"","x"
"1","alleinerziehende"
"2","denkmalschutz"
"3","nachbesserungen"
"4","tierversuche"
"5","vereinsverbot"
"6","waffenlieferungen"
"7","einwanderer"
"8","einwandererin"
"9","einwandererinnen"
"10","einwandernde"
"11","einwanderung"
"12","migration"
"13","immigration"
"14","zuwanderung"
"15","zuwanderer"
"16","zuwandernde"
"17","asyl"
"18","asylant"
"19","asylanten"
"20","asylantinnen"
"21","visa"
"22","visum"
"23","auslander"
"24","fluchtling"
"25","fluchtende"
"26","fluchtlinge"
"27","asylbewerber"
"28","asylbewerberin"
"29","asylbewerberinnen"
"30","schutzsuchende"
"31","schutzbedurftige"
