"","x"
"1","abschiebungen"
"2","asylanträge"
"3","asylrecht"
"4","asylsuchende"
"5","einwanderung"
"6","einwanderungsgesetz"
"7","energiewende"
"8","familiennachzug"
"9","finanzhilfen"
"10","flüchtlinge"
"11","flüchtlingszahlen"
"12","freizügigkeit"
"13","grenzkontrollen"
"14","hundehalter"
"15","migranten"
"16","rückführungen"
"17","staatsbürgerschaft"
"18","steuererhöhungen"
"19","subventionen"
"20","syrern"
"21","zuwanderer"
"22","zuwanderung"
"23","einwanderer"
"24","einwandererin"
"25","einwandererinnen"
"26","einwandernde"
"27","migration"
"28","immigration"
"29","zuwandernde"
"30","asyl"
"31","asylant"
"32","asylanten"
"33","asylantinnen"
"34","visa"
"35","visum"
"36","auslander"
"37","fluchtling"
"38","fluchtende"
"39","fluchtlinge"
"40","asylbewerber"
"41","asylbewerberin"
"42","asylbewerberinnen"
"43","schutzsuchende"
"44","schutzbedurftige"
